Organism
Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)
Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)
Canis familiaris (Dog) (Canis lupus familiaris)
Gorilla gorilla gorilla (Lowland gorilla)
Equus caballus (Horse)
Homo sapiens (Human)
Mus musculus (Mouse)
Pan troglodytes (Chimpanzee)
Pongo pygmaeus (Bornean orangutan)
Rattus norvegicus (Rat)
Vulpes vulpes (Red fox)
Xenopus laevis (African clawed frog)
Canis familiaris (Dog) (Canis lupus familiaris)
Cavia porcellus (Guinea pig)
Cricetulus griseus (Chinese hamster)
Didelphis marsupialis virginiana (North American opossum)
Felis catus (Cat) (Felis silvestris catus)
Gorilla gorilla gorilla (Lowland gorilla)
Equus caballus (Horse)
Homo sapiens (Human)
Mus musculus (Mouse)
Pan troglodytes (Chimpanzee)
Sus scrofa (Pig)
Oryctolagus cuniculus (Rabbit)
Rattus norvegicus (Rat)
Spalax leucodon ehrenbergi (Ehrenberg's mole rat)
Vulpes vulpes (Red fox)
Canis familiaris (Dog) (Canis lupus familiaris)
Cavia porcellus (Guinea pig)
Homo sapiens (Human)
Mus musculus (Mouse)
Sus scrofa (Pig)
Oryctolagus cuniculus (Rabbit)
Rattus norvegicus (Rat)
Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)
Cavia porcellus (Guinea pig)
Homo sapiens (Human)
Pan troglodytes (Chimpanzee)
Sus scrofa (Pig)
Cavia porcellus (Guinea pig)
Homo sapiens (Human)
Mus musculus (Mouse)
Pan troglodytes (Chimpanzee)
Rattus norvegicus (Rat)
Drosophila melanogaster (Fruit fly)
Bos taurus (Bovine)
Canis familiaris (Dog) (Canis lupus familiaris)
Cavia porcellus (Guinea pig)
Cricetulus griseus (Chinese hamster)
Drosophila melanogaster (Fruit fly)
Homo sapiens (Human)
Macaca mulatta (Rhesus macaque)
Mus musculus (Mouse)
Sus scrofa (Pig)
Pongo pygmaeus (Bornean orangutan)
Rattus norvegicus (Rat)
Cavia porcellus (Guinea pig)
Drosophila melanogaster (Fruit fly)
Homo sapiens (Human)
Mus musculus (Mouse)
Sus scrofa (Pig)
Rattus norvegicus (Rat)
Tetraodon fluviatilis (Puffer fish)
Canis familiaris (Dog) (Canis lupus familiaris)
Homo sapiens (Human)
Mus musculus (Mouse)
Pan troglodytes (Chimpanzee)
Rattus norvegicus (Rat)
Cavia porcellus (Guinea pig)
Homo sapiens (Human)
Mus musculus (Mouse)
Sus scrofa (Pig)
Rattus norvegicus (Rat)
Homo sapiens (Human)
Mus musculus (Mouse)
Rattus norvegicus (Rat)
Mus musculus (Mouse)
Rattus norvegicus (Rat)
Homo sapiens (Human)
Mus musculus (Mouse)
Pan troglodytes (Chimpanzee)
Rattus norvegicus (Rat)
Cavia porcellus (Guinea pig)
Homo sapiens (Human)
Mus musculus (Mouse)
Rattus norvegicus (Rat)
Xenopus laevis (African clawed frog)
Aplysia californica (California sea hare)
Aplysia californica (California sea hare)
Bombyx mori (Silk moth)
Heliothis virescens (Tobacco budworm moth)
Lymnaea stagnalis (Great pond snail)
Cavia porcellus (Guinea pig)
Homo sapiens (Human)
Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
Mus musculus (Mouse)
Pan troglodytes (Chimpanzee)
Sus scrofa (Pig)
Rattus norvegicus (Rat)
Saimiri sciureus (Common squirrel monkey)
Bos taurus (Bovine)
Canis familiaris (Dog) (Canis lupus familiaris)
Cavia porcellus (Guinea pig)
Gallus gallus (Chicken)
Homo sapiens (Human)
Mus musculus (Mouse)
Pongo abelii (Sumatran orangutan)
Oryctolagus cuniculus (Rabbit)
Rattus norvegicus (Rat)
Canis familiaris (Dog) (Canis lupus familiaris)
Cavia porcellus (Guinea pig)
Equus caballus (Horse)
Homo sapiens (Human)
Mus musculus (Mouse)
Rattus norvegicus (Rat)
Bos taurus (Bovine)
Canis familiaris (Dog) (Canis lupus familiaris)
Gallus gallus (Chicken)
Homo sapiens (Human)
Mus musculus (Mouse)
Oryctolagus cuniculus (Rabbit)
Rattus norvegicus (Rat)
Danio rerio (Zebrafish) (Brachydanio rerio)
Danio rerio (Zebrafish) (Brachydanio rerio)
Bos taurus (Bovine)
